"OriginalPath","OriginalName","NewName","NewPath","Directory","Status","Error","Timestamp","Reason"
"D:\DigiFloat\LawChronicle\AUTHCONTEXT_IMPLEMENTATION.md","AUTHCONTEXT_IMPLEMENTATION.md","AUTHCONTEXT-IMPLEMENTATION.md","D:\DigiFloat\LawChronicle\AUTHCONTEXT-IMPLEMENTATION.md","D:\DigiFloat\LawChronicle","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\AUTHENTICATION_IMPROVEMENTS.md","AUTHENTICATION_IMPROVEMENTS.md","AUTHENTICATION-IMPROVEMENTS.md","D:\DigiFloat\LawChronicle\AUTHENTICATION-IMPROVEMENTS.md","D:\DigiFloat\LawChronicle","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\DATE_SEARCH_IMPLEMENTATION.md","DATE_SEARCH_IMPLEMENTATION.md","DATE-SEARCH-IMPLEMENTATION.md","D:\DigiFloat\LawChronicle\DATE-SEARCH-IMPLEMENTATION.md","D:\DigiFloat\LawChronicle","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\PAGINATION_FIX_SUMMARY.md","PAGINATION_FIX_SUMMARY.md","PAGINATION-FIX-SUMMARY.md","D:\DigiFloat\LawChronicle\PAGINATION-FIX-SUMMARY.md","D:\DigiFloat\LawChronicle","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\test_pagination_fix.py","test_pagination_fix.py","test-pagination-fix.py","D:\DigiFloat\LawChronicle\test-pagination-fix.py","D:\DigiFloat\LawChronicle","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\.pip_audit.json",".pip_audit.json",".pip-audit.json","D:\DigiFloat\LawChronicle\backend\.pip-audit.json","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\analyze_section_discrepancy.py","analyze_section_discrepancy.py","analyze-section-discrepancy.py","D:\DigiFloat\LawChronicle\backend\analyze-section-discrepancy.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\check_final_results.py","check_final_results.py","check-final-results.py","D:\DigiFloat\LawChronicle\backend\check-final-results.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\check_restored.py","check_restored.py","check-restored.py","D:\DigiFloat\LawChronicle\backend\check-restored.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\debug_phase4.py","debug_phase4.py","debug-phase4.py","D:\DigiFloat\LawChronicle\backend\debug-phase4.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\demonstrate_merge.py","demonstrate_merge.py","demonstrate-merge.py","D:\DigiFloat\LawChronicle\backend\demonstrate-merge.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\diagnostic_inspect_sections.py","diagnostic_inspect_sections.py","diagnostic-inspect-sections.py","D:\DigiFloat\LawChronicle\backend\diagnostic-inspect-sections.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\diagnostic_preamble_count.py","diagnostic_preamble_count.py","diagnostic-preamble-count.py","D:\DigiFloat\LawChronicle\backend\diagnostic-preamble-count.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\diagnostic_sample_sections.py","diagnostic_sample_sections.py","diagnostic-sample-sections.py","D:\DigiFloat\LawChronicle\backend\diagnostic-sample-sections.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_actual_service.py","test_actual_service.py","test-actual-service.py","D:\DigiFloat\LawChronicle\backend\test-actual-service.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_batch_detection.py","test_batch_detection.py","test-batch-detection.py","D:\DigiFloat\LawChronicle\backend\test-batch-detection.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_collections.py","test_collections.py","test-collections.py","D:\DigiFloat\LawChronicle\backend\test-collections.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_db_connection.py","test_db_connection.py","test-db-connection.py","D:\DigiFloat\LawChronicle\backend\test-db-connection.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_db_write.py","test_db_write.py","test-db-write.py","D:\DigiFloat\LawChronicle\backend\test-db-write.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_frontend_params.py","test_frontend_params.py","test-frontend-params.py","D:\DigiFloat\LawChronicle\backend\test-frontend-params.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_merge_logic.py","test_merge_logic.py","test-merge-logic.py","D:\DigiFloat\LawChronicle\backend\test-merge-logic.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_minimal_processing.py","test_minimal_processing.py","test-minimal-processing.py","D:\DigiFloat\LawChronicle\backend\test-minimal-processing.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_new_endpoints.py","test_new_endpoints.py","test-new-endpoints.py","D:\DigiFloat\LawChronicle\backend\test-new-endpoints.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_normalization_fix.py","test_normalization_fix.py","test-normalization-fix.py","D:\DigiFloat\LawChronicle\backend\test-normalization-fix.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_phase2_endpoints.py","test_phase2_endpoints.py","test-phase2-endpoints.py","D:\DigiFloat\LawChronicle\backend\test-phase2-endpoints.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\test_phase2_filters.py","test_phase2_filters.py","test-phase2-filters.py","D:\DigiFloat\LawChronicle\backend\test-phase2-filters.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\verify_app_load.py","verify_app_load.py","verify-app-load.py","D:\DigiFloat\LawChronicle\backend\verify-app-load.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints\phase1_legacy.py","phase1_legacy.py","phase1-legacy.py","D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints\phase1-legacy.py","D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints\phase1_new.py","phase1_new.py","phase1-new.py","D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints\phase1-new.py","D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints\phase4_new.py","phase4_new.py","phase4-new.py","D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints\phase4-new.py","D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints\phase4_search.py","phase4_search.py","phase4-search.py","D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints\phase4-search.py","D:\DigiFloat\LawChronicle\backend\app\api\v1\endpoints","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\config\azure_openai_config.json","azure_openai_config.json","azure-openai-config.json","D:\DigiFloat\LawChronicle\backend\app\config\azure-openai-config.json","D:\DigiFloat\LawChronicle\backend\app\config","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\core\batch_processor.py","batch_processor.py","batch-processor.py","D:\DigiFloat\LawChronicle\backend\app\core\batch-processor.py","D:\DigiFloat\LawChronicle\backend\app\core","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\core\services\normalization_service.py","normalization_service.py","normalization-service.py","D:\DigiFloat\LawChronicle\backend\app\core\services\normalization-service.py","D:\DigiFloat\LawChronicle\backend\app\core\services","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\core\services\phase4_search_service.py","phase4_search_service.py","phase4-search-service.py","D:\DigiFloat\LawChronicle\backend\app\core\services\phase4-search-service.py","D:\DigiFloat\LawChronicle\backend\app\core\services","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\core\services\phase4_service.py","phase4_service.py","phase4-service.py","D:\DigiFloat\LawChronicle\backend\app\core\services\phase4-service.py","D:\DigiFloat\LawChronicle\backend\app\core\services","DRY_RUN","","2025-08-19 15:43:05","Would rename"
"D:\DigiFloat\LawChronicle\backend\app\core\services\phase4_service_new.py","phase4_service_new.py","phase4-service-new.py","D:\DigiFloat\LawChronicle\backend\app\core\services\phase4-service-new.py","D:\DigiFloat\LawChronicle\backend\app\core\services","DRY_RUN","","2025-08-19 15:43:05","Would rename"
